Info 0    [00:12:50.691] Starting TS Server
Info 63   [00:13:04.852] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 21.821480989456177ms
Info 64   [00:13:04.852] Different program with same set of files:: structureIsReused:: 2
Info 65   [00:13:06.473] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [00:13:06.490] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 16.758628010749817ms
Info 67   [00:13:06.491] Different program with same set of files:: structureIsReused:: 2
Info 68   [00:13:07.309] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [00:13:07.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 18.583495020866394ms
Info 70   [00:13:07.328] Different program with same set of files:: structureIsReused:: 2
Info 71   [00:16:03.851] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [00:16:03.889] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 29.542168974876404ms
Info 73   [00:16:03.889] Different program with same set of files:: structureIsReused:: 2
Info 74   [00:16:04.339] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [00:16:04.365] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 25.527956008911133ms
Info 76   [00:16:04.365] Different program with same set of files:: structureIsReused:: 2
Info 77   [00:16:04.366] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [00:16:04.378] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 11.84506905078888ms
Info 79   [00:16:04.378] Different program with same set of files:: structureIsReused:: 2
Info 80   [00:16:04.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [00:16:04.855] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 32.08014392852783ms
Info 82   [00:16:04.855] Different program with same set of files:: structureIsReused:: 2
Info 83   [00:16:05.002] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [00:16:05.015] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 12.865100026130676ms
Info 85   [00:16:05.015] Different program with same set of files:: structureIsReused:: 2
Info 86   [00:16:06.612] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [00:16:06.647] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 34.00165903568268ms
Info 88   [00:16:06.647] Different program with same set of files:: structureIsReused:: 2
Info 89   [00:16:06.650] getCompletionData: Get current token: 0.03203904628753662
Info 90   [00:16:06.650] getCompletionData: Is inside comment: 0.10583698749542236
Info 91   [00:16:06.650] getCompletionData: Get previous token 1: 0.0994260311126709
Info 92   [00:16:06.650] getCompletionData: Get previous token 2: 0.07419705390930176
Info 93   [00:16:06.651] getCompletionsAtPosition: isCompletionListBlocker: 0.33553194999694824
Info 94   [00:16:07.230] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 95   [00:16:07.253] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 22.590198040008545ms
Info 96   [00:16:07.254] Different program with same set of files:: structureIsReused:: 2
Info 97   [00:16:07.878] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [00:16:07.892] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 13.506740927696228ms
Info 99   [00:16:07.892] Different program with same set of files:: structureIsReused:: 2
Info 100  [00:16:07.893] getCompletionData: Get current token: 0.03492593765258789
Info 101  [00:16:07.894] getCompletionData: Is inside comment: 0.17617309093475342
Info 102  [00:16:07.894] getCompletionData: Get previous token 1: 0.08004200458526611
Info 103  [00:16:07.894] getCompletionsAtPosition: isCompletionListBlocker: 0.33005595207214355
Info 104  [00:16:07.904] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 105  [00:16:07.922] forEachExternalModuleToImportFrom: filtered out 128 modules by package.json contents
Info 106  [00:16:07.922] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 107  [00:16:07.922] forEachExternalModuleToImportFrom autoImportProvider: 0.5245651006698608
Info 108  [00:16:07.923] getSymbolsFromOtherSourceFileExports: 19.22826099395752
Info 109  [00:16:07.928] getCompletionData: Semantic work: 34.05854690074921
Info 110  [00:16:07.952] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23.0866379737854
Info 111  [00:16:08.682] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [00:16:08.711] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 29.403210043907166ms
Info 113  [00:16:08.711] Different program with same set of files:: structureIsReused:: 2
Info 114  [00:16:08.883] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [00:16:08.903] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 20.01931893825531ms
Info 116  [00:16:08.903] Different program with same set of files:: structureIsReused:: 2
Info 117  [00:16:09.090] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [00:16:09.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 24.386770009994507ms
Info 119  [00:16:09.114] Different program with same set of files:: structureIsReused:: 2
Info 120  [00:16:09.127] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [00:16:09.140] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 12.71850299835205ms
Info 122  [00:16:09.140] Different program with same set of files:: structureIsReused:: 2
Info 123  [00:16:09.550] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [00:16:09.570] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 19.642727971076965ms
Info 125  [00:16:09.570] Different program with same set of files:: structureIsReused:: 2
Info 126  [00:16:09.572] getCompletionData: Get current token: 0.03928804397583008
Info 127  [00:16:09.572] getCompletionData: Is inside comment: 0.11512601375579834
Info 128  [00:16:09.572] getCompletionData: Get previous token 1: 0.08606302738189697
Info 129  [00:16:09.572] getCompletionData: Get previous token 2: 0.08944201469421387
Info 130  [00:16:09.572] getCompletionsAtPosition: isCompletionListBlocker: 0.13329899311065674
Info 131  [00:16:10.037] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 132  [00:16:10.061] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 23.662160992622375ms
Info 133  [00:16:10.061] Different program with same set of files:: structureIsReused:: 2
Info 134  [00:16:10.550] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 135  [00:16:10.570] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 19.36728298664093ms
Info 136  [00:16:10.570] Different program with same set of files:: structureIsReused:: 2
Info 137  [00:16:10.571] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [00:16:10.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 11.981894969940186ms
Info 139  [00:16:10.584] Different program with same set of files:: structureIsReused:: 2
Info 140  [00:16:11.518] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [00:16:11.539] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 20.378073930740356ms
Info 142  [00:16:11.539] Different program with same set of files:: structureIsReused:: 2
Info 143  [00:16:11.854] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [00:16:11.874] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 18.950579047203064ms
Info 145  [00:16:11.874] Different program with same set of files:: structureIsReused:: 2
Info 146  [00:16:12.642] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [00:16:12.665] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 23.19063103199005ms
Info 148  [00:16:12.665] Different program with same set of files:: structureIsReused:: 2
Info 149  [00:16:12.911] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [00:16:12.927] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 16.415575981140137ms
Info 151  [00:16:12.927] Different program with same set of files:: structureIsReused:: 2
Info 152  [00:16:15.162] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [00:16:15.184] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 21.59570002555847ms
Info 154  [00:16:15.184] Different program with same set of files:: structureIsReused:: 2
Info 155  [00:16:17.876] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 156  [00:16:17.897] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 21.29949688911438ms
Info 157  [00:16:17.897] Different program with same set of files:: structureIsReused:: 2
Info 158  [00:16:19.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [00:16:19.708] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 21.910897970199585ms
Info 160  [00:16:19.708] Different program with same set of files:: structureIsReused:: 2
Info 161  [00:16:21.576] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [00:16:21.599] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 22.1959969997406ms
Info 163  [00:16:21.599] Different program with same set of files:: structureIsReused:: 2
Info 164  [00:16:22.677] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [00:16:22.697] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 20.175963044166565ms
Info 166  [00:16:22.697] Different program with same set of files:: structureIsReused:: 2
Info 167  [00:16:22.706] getCompletionData: Get current token: 0.041780948638916016
Info 168  [00:16:22.706] getCompletionData: Is inside comment: 0.08883106708526611
Info 169  [00:16:22.706] getCompletionData: Get previous token 1: 0.03474891185760498
Info 170  [00:16:22.706] getCompletionData: Get previous token 2: 0.1758960485458374
Info 171  [00:16:22.707] getCompletionsAtPosition: isCompletionListBlocker: 0.746493935585022
Info 172  [00:16:22.715] getSymbolsFromOtherSourceFileExports: Using cached list
Info 173  [00:16:22.719] getCompletionData: Semantic work: 11.481405019760132
Info 174  [00:16:22.733] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.365362048149109
Info 175  [00:16:22.886] getCompletionData: Get current token: 0.027328014373779297
Info 176  [00:16:22.886] getCompletionData: Is inside comment: 0.04800999164581299
Info 177  [00:16:22.886] getCompletionData: Get previous token 1: 0.032186031341552734
Info 178  [00:16:22.886] getCompletionData: Get previous token 2: 0.03865206241607666
Info 179  [00:16:22.886] getCompletionsAtPosition: isCompletionListBlocker: 0.0316319465637207
Info 180  [00:16:22.892] getSymbolsFromOtherSourceFileExports: Using cached list
Info 181  [00:16:22.897] getCompletionData: Semantic work: 10.825574040412903
Info 182  [00:16:22.909] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.264240026473999
Info 183  [00:16:22.916] getCompletionData: Get current token: 0.01573002338409424
Info 184  [00:16:22.916] getCompletionData: Is inside comment: 0.057835936546325684
Info 185  [00:16:22.916] getCompletionData: Get previous token 1: 0.03115999698638916
Info 186  [00:16:22.916] getCompletionData: Get previous token 2: 0.034013986587524414
Info 187  [00:16:22.916] getCompletionsAtPosition: isCompletionListBlocker: 0.04001498222351074
Info 188  [00:16:22.925] getSymbolsFromOtherSourceFileExports: Using cached list
Info 189  [00:16:22.926] getCompletionData: Semantic work: 10.194748044013977
Info 190  [00:16:22.948] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 21.227916955947876
Info 191  [00:16:23.088] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [00:16:23.100] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 11.754297018051147ms
Info 193  [00:16:23.100] Different program with same set of files:: structureIsReused:: 2
Info 194  [00:16:23.364] getCompletionData: Get current token: 0.022476911544799805
Info 195  [00:16:23.364] getCompletionData: Is inside comment: 0.036103010177612305
Info 196  [00:16:23.364] getCompletionData: Get previous token 1: 0.025483012199401855
Info 197  [00:16:23.364] getCompletionData: Get previous token 2: 0.05641591548919678
Info 198  [00:16:23.364] getCompletionsAtPosition: isCompletionListBlocker: 0.029079914093017578
Info 199  [00:16:23.368] getSymbolsFromOtherSourceFileExports: Using cached list
Info 200  [00:16:23.370] getCompletionData: Semantic work: 5.822466969490051
Info 201  [00:16:23.380] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.905628085136414
Info 202  [00:16:23.385] getCompletionData: Get current token: 0.019055962562561035
Info 203  [00:16:23.385] getCompletionData: Is inside comment: 0.05119895935058594
Info 204  [00:16:23.386] getCompletionData: Get previous token 1: 0.02615797519683838
Info 205  [00:16:23.386] getCompletionData: Get previous token 2: 0.033795952796936035
Info 206  [00:16:23.386] getCompletionsAtPosition: isCompletionListBlocker: 0.028596997261047363
Info 207  [00:16:23.390] getSymbolsFromOtherSourceFileExports: Using cached list
Info 208  [00:16:23.397] getCompletionData: Semantic work: 11.027657985687256
Info 209  [00:16:23.410] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.182273030281067
Info 210  [00:16:23.419] getCompletionData: Get current token: 0.01735997200012207
Info 211  [00:16:23.419] getCompletionData: Is inside comment: 0.044523000717163086
Info 212  [00:16:23.419] getCompletionData: Get previous token 1: 0.03173494338989258
Info 213  [00:16:23.419] getCompletionData: Get previous token 2: 0.034384965896606445
Info 214  [00:16:23.419] getCompletionsAtPosition: isCompletionListBlocker: 0.030260920524597168
Info 215  [00:16:23.423] getSymbolsFromOtherSourceFileExports: Using cached list
Info 216  [00:16:23.424] getCompletionData: Semantic work: 5.044689059257507
Info 217  [00:16:23.430] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.28200900554657
Info 218  [00:16:23.569] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [00:16:23.581] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 11.240525007247925ms
Info 220  [00:16:23.581] Different program with same set of files:: structureIsReused:: 2
Info 221  [00:16:23.784] getCompletionData: Get current token: 0.009992003440856934
Info 222  [00:16:23.784] getCompletionData: Is inside comment: 0.020631074905395508
Info 223  [00:16:23.784] getCompletionData: Get previous token 1: 0.013517975807189941
Info 224  [00:16:23.784] getCompletionData: Get previous token 2: 0.029235005378723145
Info 225  [00:16:23.784] getCompletionsAtPosition: isCompletionListBlocker: 0.015276074409484863
Info 226  [00:16:23.788] getSymbolsFromOtherSourceFileExports: Using cached list
Info 227  [00:16:23.791] getCompletionData: Semantic work: 6.782265067100525
Info 228  [00:16:23.796] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.219092011451721
Info 229  [00:16:23.918] getCompletionData: Get current token: 0.010592937469482422
Info 230  [00:16:23.918] getCompletionData: Is inside comment: 0.028506040573120117
Info 231  [00:16:23.918] getCompletionData: Get previous token 1: 0.016742944717407227
Info 232  [00:16:23.918] getCompletionData: Get previous token 2: 0.02181398868560791
Info 233  [00:16:23.918] getCompletionsAtPosition: isCompletionListBlocker: 0.023739099502563477
Info 234  [00:16:23.922] getSymbolsFromOtherSourceFileExports: Using cached list
Info 235  [00:16:23.925] getCompletionData: Semantic work: 6.943940997123718
Info 236  [00:16:23.933] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.552044034004211
Info 237  [00:16:23.938] getCompletionData: Get current token: 0.009956002235412598
Info 238  [00:16:23.938] getCompletionData: Is inside comment: 0.023013949394226074
Info 239  [00:16:23.938] getCompletionData: Get previous token 1: 0.015419960021972656
Info 240  [00:16:23.938] getCompletionData: Get previous token 2: 0.018710017204284668
Info 241  [00:16:23.938] getCompletionsAtPosition: isCompletionListBlocker: 0.023585081100463867
Info 242  [00:16:23.942] getSymbolsFromOtherSourceFileExports: Using cached list
Info 243  [00:16:23.943] getCompletionData: Semantic work: 5.071859002113342
Info 244  [00:16:23.948] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.784183025360107
Info 245  [00:16:23.956] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [00:16:23.962] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 5.870640993118286ms
Info 247  [00:16:23.962] Different program with same set of files:: structureIsReused:: 2
Info 248  [00:16:26.988] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 249  [00:16:27.010] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 21.340054035186768ms
Info 250  [00:16:27.010] Different program with same set of files:: structureIsReused:: 2
Info 251  [00:16:27.259] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [00:16:27.293] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 33.36750900745392ms
Info 253  [00:16:27.293] Different program with same set of files:: structureIsReused:: 2
Info 254  [00:16:27.294] getCompletionData: Get current token: 0.011008977890014648
Info 255  [00:16:27.294] getCompletionData: Is inside comment: 0.02504897117614746
Info 256  [00:16:27.294] getCompletionData: Get previous token 1: 0.016005992889404297
Info 257  [00:16:27.294] getCompletionData: Get previous token 2: 0.020258069038391113
Info 258  [00:16:27.294] getCompletionsAtPosition: isCompletionListBlocker: 0.009315967559814453
Info 259  [00:16:27.294] Returning an empty list because completion was requested in an invalid position.
Info 260  [00:16:27.294] getCompletionData: Get current token: 0.011865973472595215
Info 261  [00:16:27.294] getCompletionData: Is inside comment: 0.025565028190612793
Info 262  [00:16:27.294] getCompletionData: Get previous token 1: 0.01686394214630127
Info 263  [00:16:27.294] getCompletionData: Get previous token 2: 0.018825054168701172
Info 264  [00:16:27.294] getCompletionsAtPosition: isCompletionListBlocker: 0.017370939254760742
Info 265  [00:16:27.294] Returning an empty list because completion was requested in an invalid position.
Info 266  [00:16:27.295] getCompletionData: Get current token: 0.01455700397491455
Info 267  [00:16:27.295] getCompletionData: Is inside comment: 0.07141602039337158
Info 268  [00:16:27.295] getCompletionData: Get previous token 1: 0.01785099506378174
Info 269  [00:16:27.296] getCompletionData: Get previous token 2: 0.02969992160797119
Info 270  [00:16:27.296] getCompletionsAtPosition: isCompletionListBlocker: 0.013401985168457031
Info 271  [00:16:27.296] Returning an empty list because completion was requested in an invalid position.
Info 272  [00:16:27.805] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [00:16:27.831] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 26.26844596862793ms
Info 274  [00:16:27.831] Different program with same set of files:: structureIsReused:: 2
Info 275  [00:16:27.833] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [00:16:27.857] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 23.955394983291626ms
Info 277  [00:16:27.857] Different program with same set of files:: structureIsReused:: 2
Info 278  [00:16:28.761] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 279  [00:16:28.779] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 18.338605046272278ms
Info 280  [00:16:28.780] Different program with same set of files:: structureIsReused:: 2
Info 281  [00:16:28.782] getCompletionData: Get current token: 0.06100201606750488
Info 282  [00:16:28.783] getCompletionData: Is inside comment: 0.19475603103637695
Info 283  [00:16:28.783] getCompletionData: Get previous token 1: 0.06685101985931396
Info 284  [00:16:28.783] getCompletionsAtPosition: isCompletionListBlocker: 0.08590900897979736
Info 285  [00:16:28.790] getSymbolsFromOtherSourceFileExports: Using cached list
Info 286  [00:16:28.797] getCompletionData: Semantic work: 13.39477002620697
Info 287  [00:16:28.806] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.862987995147705
Info 288  [00:16:28.812] getCompletionData: Get current token: 0.012614011764526367
Info 289  [00:16:28.812] getCompletionData: Is inside comment: 0.04408395290374756
Info 290  [00:16:28.812] getCompletionData: Get previous token 1: 0.0325469970703125
Info 291  [00:16:28.812] getCompletionsAtPosition: isCompletionListBlocker: 0.034013986587524414
Info 292  [00:16:28.819] getSymbolsFromOtherSourceFileExports: Using cached list
Info 293  [00:16:28.823] getCompletionData: Semantic work: 10.65182101726532
Info 294  [00:16:28.832] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.842565059661865
Info 295  [00:16:28.841] getCompletionData: Get current token: 0.020277976989746094
Info 296  [00:16:28.841] getCompletionData: Is inside comment: 0.0528489351272583
Info 297  [00:16:28.841] getCompletionData: Get previous token 1: 0.034712910652160645
Info 298  [00:16:28.841] getCompletionsAtPosition: isCompletionListBlocker: 0.02969503402709961
Info 299  [00:16:28.845] getSymbolsFromOtherSourceFileExports: Using cached list
Info 300  [00:16:28.847] getCompletionData: Semantic work: 5.847095012664795
Info 301  [00:16:28.854] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.159132957458496
Info 302  [00:16:29.678] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 303  [00:16:29.758] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: true Elapsed: 79.40138792991638ms
Info 304  [00:16:29.758] Different program with same set of files:: structureIsReused:: 1
